,name,company,year,Price,kms_driven,fuel_type
1,Mahindra Jeep CL550,Mahindra,2006,425000,40,Diesel
15,Mahindra Jeep CL550,Mahindra,2006,425000,40,Diesel
215,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel
222,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel
302,Maruti Suzuki Swift,Maruti,2019,610000,73,Petrol
364,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel
381,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel
382,Mahindra Jeep MM,Mahindra,2006,425000,122,Diesel
387,Toyota Innova 2.5,Toyota,2012,770000,0,Diesel
427,Nissan X Trail,Nissan,2019,1200000,300,Diesel
470,Maruti Suzuki Swift,Maruti,2011,230000,65,Petrol
485,Tata Tigor Revotron,Tata,2019,650000,100,Diesel
577,Mahindra Jeep MM,Mahindra,2004,424000,383,Diesel
702,Ford Figo Petrol,Ford,2019,525000,0,Petrol
721,Maruti Suzuki Zen,Maruti,2009,125000,0,Petrol
738,Hyundai Creta 1.6,Hyundai,2019,1200000,0,Petrol
762,Tata Tiago Revotorq,Tata,2019,568500,0,Petrol
